live_id,path,slug,action,target,reason
15,Real Estate,real-estate,MERGE→real-estate,real-estate,
16,Auto & Parts,auto-parts,MERGE→vehicles,vehicles,
17,Furniture & Appliances,furniture-and-appliances,MERGE→home-garden,home-garden,
18,Construction Material,construction-material,MERGE→construction,construction,
19,Electronics,electronics,MERGE→electronics,electronics,
20,Clothing & Luggage,clothing-and-luggage,MERGE→fashion,fashion,
21,Cosmetics & Personal Care,cosmetics-and-personal-care,MERGE→beauty-personal-care,beauty-personal-care,
22,Health & Fitness,health-and-fitness,SPLIT,,"root split: equipment→sports-leisure, services→health-services, OTC→beauty (REQ-017 pharma rule)"
23,Events & Gatherings,events-and-gatherings,MERGE→events-services,events-services,R3: Events root folded; +Catering(4249)
24,Education & Training,education-and-training,MERGE→education-training,education-training,R4: Education root folded; childcare her
25,Travel & Accommodation,travel-and-accommodation,MERGE→travel,travel,
26,Services,services,MERGE→services,services,
27,Jobs & Vacancies,jobs-and-vacancies,RETIRE,,Jobs: not a marketplace category (REQ-017 amend); Tenders incl.
28,"Shops, Marts, Cafés & Restaurants",shops-marts-cafe-restaurants,DROP,,"seller-type, → storefronts (REQ-008)"
29,Bookstore & Music Shops,bookstore-music-shops,MERGE→books-media,books-media,Bookstore root folded to leaf
30,Real Estate > Single Family Houses,single-family-house,MERGE→houses,houses,
31,Real Estate > Condominium,condominium,MERGE→apartments-condos,apartments-condos,type attr: apartment/condominium; L1 kil
32,Real Estate > Apartment,apartment,MERGE→apartments-condos,apartments-condos,type attr: apartment/condominium; L1 kil
33,Real Estate > Townhomes,townhome,MERGE→houses,houses,
34,Real Estate > Office & Retail Space,office-or-retail-space,MERGE→commercial-property,commercial-property,type attr: office/retail/industrial/ware
35,Real Estate > Industrial Properties & Warehouses,industrial-property-or-warehouse,MERGE→commercial-property,commercial-property,type attr: office/retail/industrial/ware
36,Real Estate > Land,land,MERGE→land-plots,land-plots,land_type attr (residential/commercial/f
37,Real Estate > Realtor & Related Services,realtor-related-services,MERGE→realtor-services,realtor-services,
38,Real Estate > Others,others,DROP,,bare Others (empty-depth); catch-all system replaces
39,Auto & Parts > Personal Cars,personal-cars,MERGE→cars,cars,"attrs: offer_type(sale/hire), body(sedan"
40,"Auto & Parts > Buses, Vans & Taxi",buses-vans-taxi,MERGE→buses-vans,buses-vans,
41,Auto & Parts > Large Transport Trucks,large-transport-trucks,MERGE→trucks-trailers,trucks-trailers,truck_type attr from 9 live leaves
42,"Auto & Parts > Motorbikes, Tuk Tuks & Bicycles",motorbikes-bicycles,MERGE→motorbikes-bicycles,motorbikes-bicycles,type attr: motorbike/tuktuk/bicycle
43,Auto & Parts > Auto Parts & Accessories,auto-parts-accessories,MERGE→vehicle-parts,vehicle-parts,
44,Auto & Parts > Heavy Duty Trucks & Machinery,heavy-duty-trucks-machinery,MERGE→heavy-machinery,heavy-machinery,L2: also under Construction & Agricultur
47,Auto & Parts > Auto Services,auto-services,MERGE→auto-services,auto-services,absorbs Services>Automobile Repair (495)
48,Furniture & Appliances > Office Furniture,office-furniture,MERGE→furniture,furniture,"room attr; office furniture folded (48,1"
49,Furniture & Appliances > House Furniture,house-furniture,MERGE→furniture,furniture,"room attr; office furniture folded (48,1"
50,Furniture & Appliances > Appliances,appliances,MERGE→appliances,appliances,
51,Furniture & Appliances > Cookware & Utensils,cookware-and-utensil,MERGE→kitchen-dining,kitchen-dining,
52,Furniture & Appliances > Commercial Furniture,commercial-furniture,MERGE→restaurant-equipment,restaurant-equipment,+commercial furniture(52)
53,Furniture & Appliances > Appliance Services,appliance-services,MERGE→repair-maintenance,repair-maintenance,appliance services
54,Construction Material > Metals,metals,MERGE→steel-metals,steel-metals,
55,Construction Material > Concrete & Masonry,concrete-and-masonry,MERGE→cement-concrete,cement-concrete,
56,Construction Material > Plumbing Materials,plumbing-materials,MERGE→plumbing,plumbing,
57,Construction Material > Electrical & Lighting Materials,electrical-lighting-materials,MERGE→electrical-lighting,electrical-lighting,generators here
58,Construction Material > Wood Materials & Products,wood-materials-and-products,MERGE→wood-timber,wood-timber,
59,"Construction Material > Roofing, Ceiling & Wall Materials",roofing-ceiling-wall-materials,MERGE→roofing-doors,roofing-doors,
60,"Construction Material > Floors, Tiles & Paints",floor-tile-and-paint,MERGE→tiles-paint,tiles-paint,
61,Construction Material > Construction Tools & Machinery,construction-tools-machinery,MERGE→construction-tools,construction-tools,"+Construction Services(62,215,216,217)→n"
62,Construction Material > Construction Services,construction-services,MERGE→construction-tools,construction-tools,contractor listings; provider_type attr
63,"Electronics > Phones, Parts & Accessories",phones-parts-accessories,MERGE→phones-tablets,phones-tablets,type attr: smartphone/feature/basic/tabl
64,"Electronics > Computers, Parts & Accessories",computers-parts-accessories,MERGE→computers,computers,
65,"Electronics > Camera, Parts & Accessories",camera-parts-accessories,MERGE→cameras-drones,cameras-drones,absorbs Drones branch; VR here
66,"Electronics > TV, Video, Games",tv-video-games,MERGE→tv-video,tv-video,
67,"Electronics > Audio, Radio, & Accessories",audio-radio-accessories,MERGE→audio-sound,audio-sound,
68,"Electronics > Printers, Copiers, Scanners, & Faxes",printer-copier-scanner-fax,MERGE→printers-office,printers-office,+projectors(328)
69,Electronics > Drones & Parts,drones-parts,MERGE→cameras-drones,cameras-drones,absorbs Drones branch; VR here
70,"Electronics > Accessories, Parts & Others",accessories-parts-others,MERGE→electronics-accessories,electronics-accessories,
71,Electronics > Electronic Tools & Services,electronic-tools-services,MERGE→electronics-accessories,electronics-accessories,tools&services
72,Clothing & Luggage > Women Clothing,women-clothing,MERGE→womens-clothing,womens-clothing,wedding/occasion = attr occasion
73,Clothing & Luggage > Men Clothing,men-clothing,MERGE→mens-clothing,mens-clothing,
74,Clothing & Luggage > Teens Clothing,teens-clothing,MERGE→kids-clothing,kids-clothing,canonical under Babies&Kids; pointer fro
75,Clothing & Luggage > Newborn and infant clothing,newborn-and-infant-clothing,MERGE→kids-clothing,kids-clothing,canonical under Babies&Kids; pointer fro
76,Clothing & Luggage > Toddler Clothing,toddler-clothing,MERGE→kids-clothing,kids-clothing,canonical under Babies&Kids; pointer fro
77,Clothing & Luggage > Traditional Cloth,traditional-cloth,MERGE→traditional-cloth,traditional-cloth,Tibeb/Netela/Gabi = product_type attr; c
78,Clothing & Luggage > Uniforms,uniforms,MERGE→uniforms,uniforms,
79,Clothing & Luggage > Luggage & Travel Accessories,luggage-and-travel-accessories,MERGE→bags-luggage,bags-luggage,
80,Cosmetics & Personal Care > Skin Care Products,skin-care-products,MERGE→skincare,skincare,
81,Cosmetics & Personal Care > Makeup Products,makeup-products,MERGE→makeup,makeup,
82,Cosmetics & Personal Care > Haircare Products,hair-care-products,MERGE→haircare,haircare,
83,Cosmetics & Personal Care > Fragrance,fragrance,MERGE→fragrances,fragrances,
84,Cosmetics & Personal Care > Men Shaving Products,men-shaving-products,MERGE→mens-grooming,mens-grooming,
85,Cosmetics & Personal Care > Nail Care Products,nail-care-products,MERGE→nail-hand-foot,nail-hand-foot,
86,Cosmetics & Personal Care > Personal Care Services,personal-care-services,MERGE→personal-care-services,personal-care-services,L2 canonical: salons/barbers/spa dupes c
87,Cosmetics & Personal Care > Hand & Foot Care,hand-foot-care,MERGE→nail-hand-foot,nail-hand-foot,
88,Health & Fitness > Pharmacy,pharmacy,MERGE→health-wellness,health-wellness,OTC/vitamins per REQ-017; +medical equip
89,Health & Fitness > Health Service Providers,health-service-providers,MERGE→health-services,health-services,clinics/diagnostics/homecare; NO pharmac
90,Health & Fitness > Medical Equipment Providers,medical-equipment-providers,MERGE→health-wellness,health-wellness,OTC/vitamins per REQ-017; +medical equip
91,Health & Fitness > Sport & Fitness Centers,sport-and-fitness-centers,MERGE→fitness-centers,fitness-centers,
92,Health & Fitness > Sport & Fitness Equipment Supplies,sport-and-fitness-equipment-supplies,MERGE→fitness-equipment,fitness-equipment,
93,Health & Fitness > Pharmacy with Prescription,pharmacy-with-prescription,RETIRE,,Prescription pharmacy excluded (REQ-017)
94,Events & Gatherings > Religious Holiday Events,religious-holiday-events,MERGE→events-services,events-services,R3: Events root folded; +Catering(4249)
95,Events & Gatherings > National Holiday Events,national-holiday-events,MERGE→events-services,events-services,R3: Events root folded; +Catering(4249)
96,Events & Gatherings > Traditional & Cultural Events,traditional-cultural-events,MERGE→events-services,events-services,R3: Events root folded; +Catering(4249)
97,Events & Gatherings > Sporting Events,sporting-events,MERGE→events-services,events-services,R3: Events root folded; +Catering(4249)
98,Events & Gatherings > Concerts,concerts,MERGE→events-services,events-services,R3: Events root folded; +Catering(4249)
99,Events & Gatherings > Special Cause Events,special-cause-events,MERGE→events-services,events-services,R3: Events root folded; +Catering(4249)
100,Events & Gatherings > Educational Event,educational-event,MERGE→events-services,events-services,R3: Events root folded; +Catering(4249)
101,Events & Gatherings > Event Space Rental Services,even-space-rental,MERGE→events-services,events-services,R3: Events root folded; +Catering(4249)
102,Events & Gatherings > Event Organizing Services,event-organizing-services,MERGE→events-services,events-services,R3: Events root folded; +Catering(4249)
103,Education & Training > Vocational Training,vocational-training,MERGE→education-training,education-training,R4: Education root folded; childcare her
104,Education & Training > K to 12 Schools,k-to-12-schools,MERGE→education-training,education-training,R4: Education root folded; childcare her
105,Education & Training > Language Training,language-training,MERGE→education-training,education-training,R4: Education root folded; childcare her
106,Education & Training > Certificate & Diploma Training,certificatediploma-training,MERGE→education-training,education-training,R4: Education root folded; childcare her
107,Education & Training > Graduate Training,graduate-training,MERGE→education-training,education-training,R4: Education root folded; childcare her
108,Education & Training > Post Graduate Training,post-graduate-training,MERGE→education-training,education-training,R4: Education root folded; childcare her
110,Travel & Accommodation > Travel Booking Services,travel-booking-service,MERGE→tours-tickets,tours-tickets,
111,Travel & Accommodation > Tourist Destinations,tourist-destinations,MERGE→tours-tickets,tours-tickets,
112,Travel & Accommodation > Transportation,transportation,MERGE→tours-tickets,tours-tickets,
